Nama,Bahan,Step,,
Baling-baling Plastik,"2 botol plastik bekas, 4 tutup botol, 1 sedotan",1. Potong botol menjadi bentuk baling-baling - 2. Gunakan tutup botol untuk menghubungkan baling-baling - 3. Pasang sedotan sebagai poros baling-baling,,karan
Dompet Kain,"1 kain flanel bekas, benang, 1 kancing",1. Potong kain flanel bentuk dompet - 2. Jahit sisi kain dengan rapi - 3. Pasang kancing untuk pengunci,,
Lampu Hias,"1 botol kaca bekas, tali rafia, 1 set lampu LED",1. Bersihkan botol kaca dengan sabun - 2. Lilitkan tali rafia di sekeliling botol - 3. Masukkan lampu LED ke dalam botol,,
Kotak Pensil,"1 kotak susu bekas, gunting, stiker",1. Potong kotak susu menjadi bentuk kotak pensil - 2. Dekorasi dengan stiker sesuai selera - 3. Gunakan sebagai penyimpanan pensil,,
Bingkai Foto,"1 karton bekas, penggaris, 1 lem stik",1. Gunakan penggaris untuk mengukur dan memotong karton - 2. Potong tengah karton untuk tempat foto - 3. Hias bingkai dengan lem stik dan kertas warna,,
,, - ,,
Keranjang Rajut dari Kardus ,"1 kardus bekas, tali rafia atau benang anyaman, lem tembak, gunting",1. Potong kardus sesuai dengan keranjang yang diinginkan - 2.Rajut atau anyam tali rafia ataupun benang tadi pada permukaan kardus - 3. Sematkan dengan lem tembak pada bagian ujuang dan awal anyaman - 4. Buat pegangan dari tali rafia di sisi keranjang - 5.Tambahkan dekorasi sesuai dengan selera,,rakha
Gantungan Kunci dari CD/DVD,"1 CD/DVD bekas, Cat akrilik, Kancing atau hiasan kecil lainnya, kain flanel","1. Cat permukaan CD/DVD sesuai selera anda - 2. Tambahkan hiasan atau kancing untuk memberikan sentuhan unik - 3. Potong kain flanel menjadi bentuk yang diinginkan (misalnya, hewan, bunga dsb) dan rekatkan pada bagian belakang CD/DVD - 4. Tambahkan cincin gantungan kunci di bagian atas CD/DVD ",,
Bros dari kain tidak terpakai ,"1 kain bekas, 1 kancing atau hiasan kecil lainnya, jarum dan benang, klip atau pin untuk bros ",1. Potong kain menjadi lingkaran atau bentuk lain sesuai keinginan - 2. Rajut atau jahit tepi kain untuk mencegah kain mengelupas - 3. Tambahkan kancing atau hiasan di tengah lingkaran kain - 4. Jahit klip atau pin di bagian belakang sebagai pengait bros,,
Gelang dari Karet Bekas,"1 karet bekas(misalnya dari ban dalam sepeda yang tidak terpakai), Gunting, cat atau spidol permanen, lem tembak (opsional)","1. Potong karet bekas menjadi potongan-potongan kecil untuk dijadikan gelang.  - 2. Hiasi gelang dengan cat atau spidol permanen, misalnya dengan pola atau pesan inspiratif - 3. Gabungkan ujung-ujung karet untuk membentuk gelang (juga bisa menggunakan lem untuk menggabungkannya)",,
Pot Bunga Mini dari Kaleng Cat,"1 kaleng cat bekas, cat akrilik, tanah dan biji tanaman kecil, gunting",1. Bersihkan kaleng cat bekas dan biarkan kering - 2. Cat kaleng dengan warna-warna cerah atau desain yang menarik - 3.Isi kaleng dengan tanah dan tanam biji tanaman kecil ,,
,,,,
Keranjang dari koran bekas,"Koran bekas, tali, gunting",1. Potong koran secara memanjang dengan ukuran yang sama dan lipat juga secara memanjang. - 2. Susun lipatan koran seperti membuat anyaman hingga berbentuk seperti keranjang. - 3. Buat keranjang lebih kokoh dengan mengikat sisi atas dengan tali.,,morvin
Tempat alat makan dari kaleng bekas,"Kaleng bekas, cat, kawat",1. Hias kaleng bekas sesuai kreativitas. - 2. Isi kaleng dengan peralatan masak. - 3. Tempat dapat digantung dengan menggunakan kawat.,,
Tempat pensil dari sedotan,"Sedotan, kardus bekas, kertas berwarna, lem",1. Potong kardus dan bentuk menyerupai tabung. - 2. Rekatkan sedotan kepada kardus dengan menggunakan lem. - 3. Tempelkan kertas berwarna sebagai penghias.,,
Lampu gantung berbahan botol plastik,"Botol plastik berbagai shade hijau, gunting, kawat, bola lampu",1. Potong botol-botol plastik dengan bentuk dedaunan. - 2. Satukan daun-daun yang sudah dibuat dengan kawat hingga membentuk sebuah rangkaian. - 3. Tambahkan lampu di antara rangkaian daun lalu gantung dalam ruangan.,,
Lampu nanas dari sendok plastik,"Sendok plastik, botol plastik, bola lampu, lem, gunting, cat","1. Potol botol menjadi dua bagian, hanya bagian botol bawah yang akan dipakai. - 2. Potong kepala-kepala sendok dari gagangnya. - 3. Warnai kepala sendok yang telah dipotong dan keringkan. - 4. Setelah kering, tempel kepala sendok ke botol bekas hingga menyerupau nanas. - 5. Masukkan lampu ke dalam hiasan.",,
,,,,
Vas bunga berbahan dasar plastik,"Botol plastik bekas, kain","1. Gunting bagian atas botol plastik bekas agar membentuk mulut vas - 2. Hiasi botol plastik dengan kain atau kertas warna-warni - 3. Anda dapat menambahkan hiasan seperti pita, kancing, atau kain renda.",,Yudi
Tempat pensil dari kaleng bekas,"Kaleng bekas, kain","1. Bersihkan dan lepaskan label dari kaleng bekas - 2. Cat kaleng dengan cat akrilik atau tutup dengan kertas warna-warni atau kain - 3. Hias kaleng dengan stiker, pita, atau hiasan lainnya - 4. Gunakan kaleng sebagai tempat pensil, pulpen, atau barang kecil lainnya.",,
